# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
OGLE-IV              OGLE-GD-CEP-1600          07:19:50.99  -28:47:30.2  109.962445  -28.791735  241.729970   -7.075057  1O       0          1.9993603  0          0          GVI    OGLE-GD-CEP-1600  -                 -                 GD2356.24.4293    -              AP44821457           5606634988063582848  12.517
OGLE-IV              OGLE-GD-CEP-0099          07:21:01.49  -16:51:01.7  110.256222  -16.850471  231.247313   -1.290488  F        5.6480223  0          0          0          GIc    OGLE-GD-CEP-0099  -                 -                 GD1663.26.8       -              -                    3027913155837731584  13.475
OGLE-IV              OGLE-GD-CEP-1601          07:21:02.18  -15:16:58.1  110.259063  -15.282797  229.864623   -0.551368  1O       0          0.7025270  0          0          GI     OGLE-GD-CEP-1601  -                 -                 GD1661.01.5897    -              -                    3031200729968921344  13.406
GCVS                 BC____CMa                 07:21:07.45  -21:30:38.2  110.281024  -21.510598  235.378684   -3.453910  F        4.1756238  0          0          0          GVIc   OGLE-GD-CEP-0100  -                 -                 GD1653.25.11      -              426947               5619786177922254336  12.578
GCVS                 RZ____CMa                 07:21:32.86  -16:41:14.0  110.386898  -16.687218  231.162012   -1.103316  F        4.2550780  0          0          0          GV     -                 -                 -                 -                 072133-1641.2  -                    3027940437469882880   9.303
GCVS                 AL____CMa                 07:21:45.15  -26:32:00.3  110.438140  -26.533406  239.906382   -5.663268  F        2.8255559  0          0          0          GVIc   OGLE-GD-CEP-1330  -                 -                 GD2354.22.1       072145-2632.0  363004               5616130129962210048  12.892
GCVS                 TW____CMa                 07:22:02.38  -14:19:05.4  110.509905  -14.318180  229.127633    0.116584  F        6.9955097  0          0          0          GV     -                 -                 -                 -                 072202-1419.1  -                    3031875585286182144   9.219
OGLE-IV              OGLE-GD-CEP-1602          07:22:06.75  -17:38:11.2  110.528120  -17.636458  232.063322   -1.430887  1O2O     0          0.6770333  0.5457217  0          GI     OGLE-GD-CEP-1602  -                 -                 GD1650.24.4376    -              -                    3027634360923134848  15.486
ASAS                 J072219-1544.9            07:22:19.34  -15:44:55.8  110.580579  -15.748833  230.421649   -0.497406  1O2O     0          0.8247218  0.6639490  0          GVI    OGLE-GD-CEP-0101  -                 -                 GD1648.15.6       072219-1544.9  417869               3031117922998205952  13.048
OGLE-IV              OGLE-GD-CEP-0102          07:22:40.24  -17:19:48.0  110.667651  -17.330005  231.855632   -1.169139  F        4.9604526  0          0          0          GIc    OGLE-GD-CEP-0102  -                 -                 GD1650.31.3676    -              -                    3027837358256113792  13.283
GCVS                 AM____CMa                 07:22:47.78  -26:42:52.4  110.699079  -26.714552  240.176283   -5.540483  F        2.5453326  0          0          0          GVIc   OGLE-GD-CEP-1331  -                 -                 GD2354.12.14      072248-2642.9  362535               5613111347760892672  12.933
OGLE-IV              OGLE-GD-CEP-0103          07:22:58.74  -13:56:01.7  110.744736  -13.933814  228.896070    0.498655  1O       0          0.9978494  0          0          GI     OGLE-GD-CEP-0103  -                 -                 GD1647.23.4647    -              -                    3031986331027091712  14.252
GCVS                 V423__CMa                 07:23:15.15  -29:43:20.8  110.813122  -29.722436  242.905931   -6.841825  F        3.3362851  0          0          0          GVc    -                 -                 -                 -                 072315-2943.3  260301               5605736961940589568  12.870
ASAS                 J072354-0857.5            07:23:53.39  -08:57:30.3  110.972461   -8.958426  224.611490    3.041721  1O2O     0          0.5582734  0.4483204  0          GVI    OGLE-GD-CEP-1603  -                 -                 GD1643.30.2       072354-0857.5  -                    3047753667061711104  12.228
ASAS                 J072424-0751.3            07:24:24.52  -07:51:19.6  111.102146   -7.855448  223.696930    3.673763  1O       0          2.0712751  0          0          GV     -                 -                 -                 -                 072424-0751.3  -                    3054600330268450560  10.164
ATLAS                J111.1274-25.0914         07:24:30.58  -25:05:29.2  111.127407  -25.091433  238.915398   -4.442665  1O       0          1.8697172  0          0          GVIc   OGLE-GD-CEP-1332  -                 -                 GD2353.19.3743    -              AP45069241           5616661022278957568  14.213
ZTF-DR2              J072430.69-190614.6       07:24:30.70  -19:06:14.7  111.127921  -19.104080  233.626443   -1.621432  1O       0          5.4576359  0          0          GVIg   OGLE-GD-CEP-1822  -                 -                 GD1651.20.1       072431-1906.3  -                    2930603731082999296  11.587
GCVS                 AO____CMa                 07:24:40.59  -26:11:18.6  111.169126  -26.188490  239.905722   -4.923029  F        5.8156938  0          0          0          GV     -                 -                 -                 -                 072441-2611.3  361872               5613165915335320192  11.539
Gaia-DR3             5616610547821889536       07:24:47.29  -25:16:04.4  111.197042  -25.267889  239.101367   -4.469712  1O2O     0          0.2305207  0.1839986  0          GI     OGLE-GD-CEP-1823  -                 -                 GD2353.18.14      -              -                    5616610547821889536  13.678
ATLAS                J111.2561-23.1579         07:25:01.48  -23:09:28.5  111.256180  -23.157912  237.260004   -3.430256  F        3.8910015  0          0          0          Gc     -                 -                 -                 -                 -              -                    5619369359933924992  13.743
OGLE-IV              OGLE-GD-CEP-1604          07:25:12.92  -21:04:44.3  111.303854  -21.078977  235.445786   -2.409881  F1O      5.5029813  3.8993203  0          0          GI     OGLE-GD-CEP-1604  -                 -                 GD1653.27.6858    -              -                    5619906368290415104  14.547
ATLAS                J111.3077-27.7991         07:25:13.86  -27:47:56.9  111.307749  -27.799133  241.393778   -5.566178  1O       0          1.2164676  0          0          GVIc   OGLE-GD-CEP-1333  -                 -                 GD2348.32.6223    -              362930               5612678213207148032  13.134
ASAS                 J072542-1953.8            07:25:41.60  -19:53:48.0  111.423323  -19.896665  234.456753   -1.751476  1O       0          2.1777268  0          0          GVI    OGLE-GD-CEP-0104  -                 -                 GD1652.26.4105    072542-1953.8  425457               2930223059544294912  11.232
GCVS                 SS____CMa                 07:26:07.19  -25:15:26.3  111.529960  -25.257297  239.233870   -4.198966  F       12.3541042  0          0          0          GV     -                 -                 -                 -                 072607-2515.5  -                    5616601820448126336   9.563
GCVS                 VZ____CMa                 07:26:28.24  -25:55:36.4  111.617669  -25.926768  239.863528   -4.444387  1O       0          3.1262413  0          0          GV     -                 -                 -                 -                 072628-2555.6  -                    5613541295473114496   9.042
GCVS                 BY____CMa                 07:26:29.43  -27:55:30.1  111.622626  -27.925023  241.636309   -5.378948  F        3.1849787  0          0          0          GVIc   OGLE-GD-CEP-1334  -                 -                 GD2348.30.27      072629-2755.6  260182               5612661716228387200  12.842
OGLE-IV              OGLE-GD-CEP-1605          07:26:48.33  -21:00:58.3  111.701360  -21.016198  235.566429   -2.053456  1O       0          0.5379004  0          0          GI     OGLE-GD-CEP-1605  -                 -                 GD1639.15.5881    -              -                    5620232614002776576  15.370
GCVS                 CK____Pup                 07:27:18.88  -25:47:07.3  111.828684  -25.785354  239.828249   -4.210253  F        7.4198085  0          0          0          GVIc   OGLE-GD-CEP-1335  -                 -                 GD2346.22.7       072719-2547.1  270674               5613564621430610560  12.700
OGLE-IV              OGLE-GD-CEP-0105          07:27:20.88  -19:19:25.2  111.836996  -19.323675  234.137683   -1.136313  1O       0          2.2526253  0          0          GI     OGLE-GD-CEP-0105  -                 -                 GD1638.32.22      -              -                    2930404204085876864  14.053
ASASSN-V             J072739.70-252241.1       07:27:39.70  -25:22:41.1  111.915413  -25.378083  239.505507   -3.948808  1O       0          2.7599516  0          0          GVIc   OGLE-GD-CEP-1336  -                 -                 GD2346.30.5693    -              562943               5613685331497869312  13.879
ASASSN-V             J072756.51-164953.9       07:27:56.54  -16:49:53.4  111.985601  -16.831512  232.014431    0.176373  1O       0          3.3961082  0          0          GV     -                 -                 -                 -                 -              424761               3027746854704868608  10.878
OGLE-IV              OGLE-GD-CEP-1337          07:28:11.31  -26:29:26.6  112.047117  -26.490717  240.544562   -4.370746  1O       0          1.3075467  0          0          GI     OGLE-GD-CEP-1337  -                 -                 GD2346.04.61      -              -                    5613275454180075264  15.423
ATLAS                J112.1221-32.7889         07:28:29.32  -32:47:20.3  112.122164  -32.788969  246.166956   -7.267815  F        2.2528466  0          0          0          GIc    OGLE-GD-CEP-1338  -                 -                 GD2345.16.6927    -              -                    5592541344934801792  13.388
ASAS                 J072830-3039.3            07:28:29.77  -30:39:20.0  112.124023  -30.655546  244.267280   -6.271337  1O       0          3.3057037  0          0          GVI    OGLE-GD-CEP-1339  -                 -                 GD2350.18.7664    072830-3039.3  260123               5593427031607304704  12.083
ASASSN-V             J072831.42-220400.8       07:28:31.47  -22:04:00.4  112.131108  -22.066790  236.681420   -2.201880  1O       0          6.1160897  0          0          GVI    OGLE-GD-CEP-1824  -                 -                 GD1640.21.7318    -              426308               5619550916791884032  13.656
ASAS                 J072840-2920.6            07:28:40.27  -29:20:39.2  112.167801  -29.344224  243.120889   -5.622560  F        2.7016780  0          0          0          GVIc   OGLE-GD-CEP-1340  -                 -                 GD2349.19.6211    072840-2920.6  260363               5611563995612988928  12.699
OGLE-IV              OGLE-GD-CEP-0106          07:28:59.97  -23:11:35.0  112.249860  -23.193053  237.724602   -2.642564  1O2O     0          0.2897631  0.2318375  0          GI     OGLE-GD-CEP-0106  -                 -                 GD1641.20.4897    -              -                    5618585992262238976  16.015
OGLE-IV              OGLE-GD-CEP-0107          07:29:24.81  -15:58:36.5  112.353376  -15.976816  231.432389    0.894868  1O       0          2.5035573  0          0          GIc    OGLE-GD-CEP-0107  -                 -                 GD1635.21.12      -              -                    3028237786647550464  12.796
OGLE-IV              OGLE-GD-CEP-0108          07:29:31.52  -21:28:09.9  112.381320  -21.469409  236.267329   -1.712402  F        3.2348230  0          0          0          GIc    OGLE-GD-CEP-0108  -                 -                 GD1639.03.5186    -              -                    5620009310062726784  14.114
OGLE-IV              OGLE-GD-CEP-0109          07:29:34.95  -20:01:03.4  112.395623  -20.017605  234.998741   -1.005633  F        2.3679476  0          0          0          GVIc   OGLE-GD-CEP-0109  -                 -                 GD1638.11.22      -              424834               5620438153958204544  14.124
GCVS                 BC____Pup                 07:30:02.55  -23:40:26.3  112.510630  -23.673981  238.261985   -2.661941  F        3.5443336  0          0          0          GVIc   OGLE-GD-CEP-0110  -                 -                 GD1641.10.4       -              425915               5618354751226656640  13.371
ZTF-DR2              J073008.66-194457.7       07:30:08.66  -19:44:57.8  112.536084  -19.749389  234.826649   -0.761137  1O2O     0          0.6996850  0.5627246  0          Gg     -                 -                 -                 -                 -              -                    5620483714972582528  12.191
GCVS                 BD____Pup                 07:30:38.70  -24:41:15.1  112.661250  -24.687516  239.219030   -3.025886  F        3.9181306  0          0          0          GVI    OGLE-GD-CEP-0111  -                 -                 GD1642.18.1       -              271126               5615233993628681216  13.089
GCVS                 CM____Pup                 07:30:42.39  -20:27:07.1  112.676617  -20.451986  235.506429   -0.982644  F        3.1734247  0          0          0          GVIc   OGLE-GD-CEP-0112  -                 -                 GD1639.26.5425    -              426986               5620362459452827904  13.485
OGLE-IV              OGLE-GD-CEP-0113          07:31:04.46  -22:16:50.6  112.768585  -22.280711  237.152028   -1.785887  F        4.0398583  0          0          0          GVIc   OGLE-GD-CEP-0113  -                 -                 GD1640.09.4842    -              489223               5618781464810769408  14.359
Gaia-DR3             5618453226232054912       07:31:09.35  -23:32:38.4  112.788958  -23.544000  238.270017   -2.375808  1O       0          2.9772286  0          0          GI     OGLE-GD-CEP-1825  -                 -                 GD1641.08.4922    -              -                    5618453226232054912  16.343
ASAS                 J073113-2811.0            07:31:12.11  -28:10:58.5  112.800449  -28.182911  242.357194   -4.584486  F        4.7099666  0          0          0          GVc    -                 -                 -                 -                 073113-2811.0  259784               5611944113094713600  12.173
GCVS                 BQ____Pup                 07:31:15.72  -25:54:26.6  112.815486  -25.907391  240.358873   -3.486858  F        2.1479831  0          0          0          GVIc   OGLE-GD-CEP-0114  -                 -                 GD1629.07.2       -              270195               5613411827982576768  11.669
GCVS                 VW____Pup                 07:31:49.09  -20:08:58.8  112.954530  -20.149657  235.366769   -0.608692  F        4.2852951  0          0          0          GV     -                 -                 -                 -                 073149-2009.0  426630               5620400182140135168  11.053
OGLE-IV              OGLE-GD-CEP-0115          07:31:49.36  -22:07:22.3  112.955647  -22.122849  237.096855   -1.558127  F        2.9307378  0          0          0          GIc    OGLE-GD-CEP-0115  -                 -                 GD1640.17.44      -              -                    5619159628093208064  14.604
ASAS                 J073200-2529.3            07:31:59.79  -25:29:18.2  112.999140  -25.488400  240.069868   -3.140888  1O       0          2.4212468  0          0          GV     -                 -                 -                 -                 073200-2529.3  -                    5613446458292580224  10.155
OGLE-IV              OGLE-GD-CEP-1341          07:32:26.79  -27:33:07.8  113.111612  -27.552164  241.933073   -4.041672  1O       0          1.8906929  0          0          GI     OGLE-GD-CEP-1341  -                 -                 GD2341.22.8206    -              -                    5612351486452387712  13.736
GCVS                 VX____Pup                 07:32:36.65  -21:55:49.5  113.152699  -21.930428  237.016262   -1.305337  F1O      3.0117830  2.1394633  0          0          GV     -                 -                 -                 -                 073237-2155.8  -                    5619192029327633664   8.127
Gaia-DR3             5615172249176514944       07:32:40.45  -24:51:17.8  113.168542  -24.854944  239.587366   -2.702059  1O       0          2.1890906  0          0          GI     OGLE-GD-CEP-1826  -                 -                 GD1629.30.34      -              -                    5615172249176514944  14.380
OGLE-IV              OGLE-GD-CEP-0116          07:32:44.09  -24:42:59.9  113.183724  -24.716630  239.472640   -2.623404  F1O      1.7527392  1.2610329  0          0          GI     OGLE-GD-CEP-0116  -                 -                 GD1629.30.7435    -              -                    5615178536995368448  13.775
GCVS                 X_____Pup                 07:32:47.03  -20:54:34.9  113.195965  -20.909682  236.141638   -0.777289  F       25.9722922  0          0          0          GV     -                 -                 -                 -                 073247-2054.6  -                    5620098679741674496   8.348
OGLE-IV              OGLE-GD-CEP-1342          07:33:04.40  -27:33:02.9  113.268347  -27.550792  241.998623   -3.919052  F        0.9825485  0          0          0          GI     OGLE-GD-CEP-1342  -                 -                 GD2341.21.8365    -              -                    5612356640413371136  14.262
GCVS                 BE____Pup                 07:33:35.50  -25:50:37.2  113.397922  -25.843667  240.554900   -2.996574  F1O      2.8708753  2.0483016  0          0          GVI    OGLE-GD-CEP-0117  -                 -                 GD1629.04.17      -              271184               5613375028701902976  13.284
GCVS                 OO____Pup                 07:33:38.80  -16:19:01.5  113.411674  -16.317095  232.220038    1.622243  F       10.9832333  0          0          0          GV     -                 -                 -                 -                 073339-1619.0  425492               3027495856819349248  11.118
OGLE-IV              OGLE-GD-CEP-0118          07:34:11.63  -21:39:55.6  113.548479  -21.665438  236.962044   -0.855534  1O       0          1.8338128  0          0          GIc    OGLE-GD-CEP-0118  -                 -                 GD1626.12.8047    -              -                    5619296379853773184  14.158
ATLAS                J113.5502-30.0772         07:34:12.06  -30:04:38.1  113.550257  -30.077244  244.341141   -4.913660  1O       0          2.0846221  0          0          GVIc   OGLE-GD-CEP-1343  -                 -                 GD2343.18.4953    -              AP44615538           5599425146723119744  12.789
ATLAS                J113.5630-28.6246         07:34:15.14  -28:37:28.7  113.563089  -28.624651  243.068103   -4.206700  1O       0          2.1893562  0          0          GVIc   OGLE-GD-CEP-1344  -                 -                 GD2342.27.9       -              260470               5611675694812770176  12.947
ASAS                 J073453-2651.3            07:34:53.39  -26:51:20.9  113.722479  -26.855794  241.583218   -3.230383  F        3.5523066  0          0          0          GVc    -                 -                 -                 -                 073453-2651.3  271260               5612495762995320576  13.520
ASAS                 J073502-3554.9            07:35:02.06  -35:54:46.8  113.758564  -35.912994  249.588278   -7.537190  F        4.2435367  0          0          0          GV     -                 -                 -                 -                 073502-3554.9  389684               5587972801102905984  12.218
ASASSN-V             J073518.78-313951.1       07:35:18.77  -31:39:51.0  113.828221  -31.664178  245.854571   -5.464622  F        3.3821477  0          0          0          GVIc   OGLE-GD-CEP-1345  -                 -                 GD2338.31.16      -              471895               5592331544376193792  13.808
ATLAS                J113.8534-31.0749         07:35:24.82  -31:04:30.0  113.853419  -31.074989  245.345711   -5.163143  1O       0          1.7482586  0          0          GVIc   OGLE-GD-CEP-1346  -                 -                 GD2337.15.15      -              AP44604116           5599120204043561600  13.583
Gaia-DR3             5612074684400718848       07:35:41.10  -28:14:40.9  113.921250  -28.244694  242.886638   -3.747580  1O       0          4.3870375  0          0          GI     OGLE-GD-CEP-1827  -                 -                 GD1618.25.13      -              -                    5612074684400718848  12.886
ASASSN-V             J073543.38-313225.8       07:35:43.42  -31:32:25.7  113.930897  -31.540480  245.787678   -5.328557  1O2O     0          0.8053211  0.6490975  0          GVI    OGLE-GD-CEP-1347  -                 -                 GD2338.31.4244    -              515569               5592339825073376640  14.239
OGLE-IV              OGLE-GD-CEP-1348          07:35:49.12  -29:04:03.2  113.954665  -29.067546  243.622926   -4.119576  1O       0          1.6407530  0          0          GI     OGLE-GD-CEP-1348  -                 -                 GD2336.32.5419    -              -                    5599635256524781056  14.890
OGLE-IV              OGLE-GD-CEP-0119          07:36:04.20  -19:20:50.8  114.017486  -19.347447  235.149865    0.655169  1O       0          2.7858501  0          0          GVIc   OGLE-GD-CEP-0119  -                 -                 GD1624.09.4       -              424659               5716618479048161408  12.506
OGLE-IV              OGLE-GD-CEP-0120          07:36:10.65  -25:21:50.5  114.044355  -25.364032  240.417350   -2.254278  F        7.9595167  0          0          0          GVIc   OGLE-GD-CEP-0120  -                 -                 GD1629.08.6129    -              268927               5614916921960857088  14.498
ASAS                 J073620-2840.1            07:36:20.26  -28:40:05.1  114.084436  -28.668070  243.327533   -3.826902  1O       0          2.6359348  0          0          GV     -                 -                 -                 -                 073620-2840.1  259780               5600034688481641856  10.974
Gaia-DR3             5588783317271337600       07:37:04.05  -34:07:49.1  114.266875  -34.130306  248.208070   -6.323078  1O2O     0          0.5341628  0.4310271  0          GI     OGLE-GD-CEP-1828  -                 -                 GD2340.28.102     -              -                    5588783317271337600  15.627
ATLAS                J114.3202-29.6077         07:37:16.87  -29:36:27.8  114.320291  -29.607729  244.251506   -4.102133  F        3.5916182  0          0          0          GIc    OGLE-GD-CEP-1349  -                 -                 GD2336.22.16      -              -                    5599370549100412544  14.249
ASASSN-V             J073754.49-292617.0       07:37:54.49  -29:26:16.9  114.477058  -29.438041  244.169230   -3.900475  F        2.6203516  0          0          0          GVIc   OGLE-GD-CEP-1350  -                 -                 GD2336.21.6480    -              471941               5599566983722741248  14.250
OGLE-IV              OGLE-GD-CEP-0121          07:37:55.86  -20:21:43.4  114.482767  -20.362066  236.249006    0.541243  1O       0          1.4415973  0          0          GVIc   OGLE-GD-CEP-0121  -                 -                 GD1611.06.21      -              430028               5715479732904720896  14.372
GCVS                 MY____Pup                 07:38:18.20  -48:36:05.1  114.575843  -48.601409  261.313308  -12.857808  1O       0          5.6945273  0          0          GBV    -                 -                 -                 -                 -              -                    5506374096132016512   5.465
GCVS                 VZ____Pup                 07:38:35.24  -28:29:58.6  114.646818  -28.499601  243.420653   -3.313463  F       23.1752288  0          0          0          GBVI   -                 -                 -                 -                 073835-2830.0  259640               5600052040150252800   9.341
OGLE-IV              OGLE-GD-CEP-1606          07:38:51.02  -28:47:43.4  114.712595  -28.795381  243.707442   -3.407552  1O2O     0          0.2547523  0.2038250  0          GI     OGLE-GD-CEP-1606  -                 -                 GD1618.03.6259    -              -                    5599974146620664064  14.071
GCVS                 OP____Pup                 07:39:21.49  -17:20:49.1  114.839538  -17.346963  233.786111    2.314151  1O       0          2.5988107  0          0          GV     -                 -                 -                 -                 073921-1720.8  425764               3027132193338351360  10.778
OGLE-IV              OGLE-GD-CEP-1607          07:40:08.86  -29:53:58.7  115.036911  -29.899649  244.810966   -3.701215  1O2O     0          0.4266760  0.3442733  0          GI     OGLE-GD-CEP-1607  -                 -                 GD2336.09.80      -              -                    5599304814616843648  15.882
ASAS                 J074042-3042.9            07:40:42.98  -30:42:52.8  115.179095  -30.714664  245.583305   -3.993612  1O       0          2.8884123  0          0          GVIc   OGLE-GD-CEP-1351  -                 -                 GD2337.17.15      074042-3042.9  A074042              5598479085688742656  12.532
OGLE-IV              OGLE-GD-CEP-0122          07:40:48.98  -25:27:27.7  115.204080  -25.457708  241.012590   -1.387023  F        4.1709258  0          0          0          GVIc   OGLE-GD-CEP-0122  -                 -                 GD1616.26.15      -              271144               5614191175568405376  12.400
OGLE-IV              OGLE-GD-CEP-0123          07:40:59.31  -22:29:31.4  115.247136  -22.492067  238.453412    0.112432  F        1.3992865  0          0          0          GI     OGLE-GD-CEP-0123  -                 -                 GD1613.09.107     -              -                    5615958881027868544  15.521
GCVS                 EK____Pup                 07:41:49.72  -25:02:30.4  115.457168  -25.041774  240.764212   -0.982382  1O       0          2.6259002  0          0          GV     -                 -                 -                 -                 074150-2502.5  -                    5614274807174596864  10.369
GCVS                 WW____Pup                 07:41:54.89  -21:07:59.0  115.478699  -21.133057  237.378876    0.971862  F        5.5165934  0          0          0          GV     -                 -                 -                 -                 074155-2108.0  -                    5715183929918131968  10.349
GCVS                 WX____Pup                 07:41:59.00  -25:52:34.2  115.495838  -25.876170  241.506489   -1.365390  F        8.9363892  0          0          0          GV     -                 -                 -                 -                 074159-2552.6  -                    5613972681993587200   8.774
OGLE-IV              OGLE-GD-CEP-1352          07:42:00.07  -35:03:04.7  115.500311  -35.051293  249.512510   -5.879393  1O       0          3.6138758  0          0          GVI    OGLE-GD-CEP-1352  -                 -                 GD2335.20.9       -              AP44312899           5588457861828906496  13.421
OGLE-IV              OGLE-GD-CEP-0124          07:42:01.88  -28:03:50.7  115.507839  -28.064095  243.413955   -2.439084  F        2.8976803  0          0          0          GIc    OGLE-GD-CEP-0124  -                 -                 GD1605.15.21      -              -                    5600138420530755072  14.902
ASASSN-V             J074310.73-113457.7       07:43:10.76  -11:34:57.6  115.794820  -11.582674  229.203788    5.947362  1O2O     0          0.7153552  0.5774105  0          GV     -                 -                 -                 -                 -              657369               3039967784706458880  12.671
GCVS                 V719__Pup                 07:43:42.79  -20:50:15.6  115.928275  -20.837666  237.330984    1.482899  1O2O     0          0.7362774  0.5932121  0          GV     -                 -                 -                 -                 074343-2050.3  -                    5715241619915091584  10.778
ASASSN-V             J074354.86-323013.7       07:43:54.85  -32:30:13.6  115.978558  -32.503777  247.480694   -4.281840  F        3.1492138  0          0          0          GVIc   OGLE-GD-CEP-1353  -                 -                 GD2333.19.4532    -              509122               5594991812757424768  14.855
ASAS                 J074401-3008.4            07:44:00.11  -30:08:29.3  116.000452  -30.141461  245.433929   -3.094774  F        3.3905071  0          0          0          GVI    OGLE-GD-CEP-0125  -                 -                 GD1607.20.12      074401-3008.4  260382               5598852026287511424  13.248
ASAS                 J074401-1707.8            07:44:00.61  -17:07:43.9  116.002523  -17.128871  234.144999    3.387854  1O       0          2.6300171  0          0          GV     -                 -                 -                 -                 074401-1707.8  430230               5718755624717348096  11.326
ASAS                 J074412-1704.9            07:44:11.92  -17:04:51.5  116.049649  -17.080985  234.125748    3.450723  1O       0          4.7013381  0          0          GV     -                 -                 -                 -                 074412-1704.9  -                    5718760258978008320  10.093
GCVS                 V612__Pup                 07:44:27.63  -24:17:18.9  116.115135  -24.288581  240.408276   -0.088995  1O       0          3.2731560  0          0          GVI    OGLE-GD-CEP-0126  -                 -                 GD1602.12.9       -              262266               5614701001056464384  12.485
OGLE-IV              OGLE-GD-CEP-1354          07:44:37.06  -33:56:10.9  116.154423  -33.936361  248.802875   -4.862272  F        2.6667268  0          0          0          GI     OGLE-GD-CEP-1354  -                 -                 GD2334.08.4167    -              -                    5588660824801514880  15.766
OGLE-IV              OGLE-GD-CEP-1355          07:44:48.36  -31:21:45.1  116.201514  -31.362522  246.581346   -3.551621  1O       0          2.6925471  0          0          GI     OGLE-GD-CEP-1355  -                 -                 GD2332.18.18      -              -                    5598174486604978176  13.830
OGLE-IV              OGLE-GD-CEP-1608          07:44:53.61  -33:18:17.3  116.223392  -33.304796  248.280785   -4.499766  1O       0          1.6160732  0          0          GI     OGLE-GD-CEP-1608  -                 -                 GD2330.25.64      -              -                    5594699377021067904  16.837
OGLE-IV              OGLE-GD-CEP-0127          07:45:11.79  -36:58:29.1  116.299110  -36.974749  251.517194   -6.257874  F       13.7677045  0          0          0          GVI    OGLE-GD-CEP-0127  -                 -                 GD2145.22.5       -              482472               5586922973654572416  12.217
OGLE-IV              OGLE-GD-CEP-1609          07:45:28.14  -36:34:48.4  116.367256  -36.580113  251.198710   -6.016121  F1O      2.5572006  1.8441024  0          0          GI     OGLE-GD-CEP-1609  -                 -                 GD2145.30.26      -              -                    5587355360904762624  14.097
OGLE-IV              OGLE-GD-CEP-0128          07:45:43.70  -35:24:35.8  116.432094  -35.409945  250.202140   -5.392651  1O       0          1.7152609  0          0          GVI    OGLE-GD-CEP-0128  -                 -                 GD2144.30.25      -              564156               5587628692622346624  14.384
OGLE-IV              OGLE-GD-CEP-1610          07:45:50.24  -33:26:01.7  116.459316  -33.433809  248.491223   -4.392775  1O2O     0          0.3272970  0.2620822  0          GI     OGLE-GD-CEP-1610  -                 -                 GD2330.15.3430    -              -                    5594682368950501504  16.961
OGLE-IV              OGLE-GD-CEP-0129          07:46:52.12  -30:39:57.2  116.717176  -30.665896  246.197911   -2.820848  F        2.9692043  0          0          0          GVIc   OGLE-GD-CEP-0129  -                 -                 GD1595.23.9401    -              471857               5598642947280233984  14.167
OGLE-IV              OGLE-GD-CEP-1611          07:47:15.83  -31:42:20.3  116.815944  -31.705648  247.141137   -3.269247  1O2O     0          0.7021607  0.5572131  0          GI     OGLE-GD-CEP-1611  -                 -                 GD1596.30.351     -              -                    5595139349171646080  18.274
OGLE-IV              OGLE-GD-CEP-0130          07:47:43.66  -32:02:56.0  116.931936  -32.048898  247.488042   -3.356319  1O       0          0.9831663  0          0          GVI    OGLE-GD-CEP-0130  -                 -                 GD1596.22.17      -              AP44451131           5595078399297564032  14.669
OGLE-IV              OGLE-GD-CEP-0131          07:47:50.45  -32:11:14.6  116.960221  -32.187390  247.620061   -3.405160  F        7.0342049  0          0          0          GVIc   OGLE-GD-CEP-0131  -                 -                 GD1596.13.6295    -              564383               5595072317623907328  13.351
ASASSN-V             J074751.56-321017.0       07:47:51.54  -32:10:16.8  116.964767  -32.171330  247.608086   -3.393765  F        5.8635029  0          0          0          GVIc   OGLE-GD-CEP-0132  -                 -                 GD1596.13.6296    -              517280               5595072420703114624  13.150
OGLE-IV              OGLE-GD-CEP-1612          07:47:57.31  -27:49:27.5  116.988771  -27.824308  243.860139   -1.186029  1O2O     0          0.2396648  0.1917103  0          GI     OGLE-GD-CEP-1612  -                 -                 GD1593.31.7408    -              -                    5601418217705666560  15.755
ASASSN-V             J074758.52-211750.9       07:47:58.56  -21:17:51.8  116.994015  -21.297711  238.227816    2.113103  1O       0          0.8048950  0          0          GVI    OGLE-GD-CEP-1829  -                 -                 GD1587.15.32      -              AP46435370           5712175459944371200  14.272
GCVS                 AD____Pup                 07:48:03.85  -25:34:40.0  117.016035  -25.577771  241.933369   -0.030338  F       13.5968142  0          0          0          GV     -                 -                 -                 -                 074804-2534.6  -                    5614312705966204288   9.635
ASASSN-V             J074807.98-345324.7       07:48:07.98  -34:53:24.6  117.033232  -34.890177  249.995079   -4.707668  F        2.9115491  0          0          0          GVIc   OGLE-GD-CEP-1356  -                 -                 GD2331.03.5989    -              482191               5587763210997781888  14.592
