# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
ZTF-DR2              J002457.47+655110.0       00:24:57.46  +65:51:09.9    6.239428   65.852759  120.224771    3.120293  1O       0          3.2697493  0          0          Gr     -                 -                 -                 -                 -              -                    527431196658531584   15.680
GCVS                 V825__Cas                 00:25:18.16  +60:45:53.2    6.325687   60.764776  119.744271   -1.945115  F1O      3.7340527  2.6531883  0          0          GV     -                 -                 -                 -                 -              202691               428835686898545920   12.367
GCVS                 AS____Cas                 00:25:37.73  +64:13:47.6    6.407203   64.229891  120.130570    1.498612  F1O      3.0245807  2.1558794  0          0          GV     -                 -                 -                 -                 -              277374               431184518613946112   11.649
GCVS                 TU____Cas                 00:26:19.45  +51:16:49.2    6.581046   51.280343  118.930469  -11.396183  F1O      2.1393452  1.5183159  0          0          GV     -                 -                 -                 -                 -              337672               394818721274314112    7.705
GCVS                 V379__Cas                 00:26:35.95  +60:47:53.4    6.649802   60.798170  119.905102   -1.927520  1O       0          4.3062518  0          0          GV     -                 -                 -                 -                 -              V0379C               428839329030983040    8.710
GCVS                 DL____Cas                 00:29:58.58  +60:12:43.0    7.494096   60.211957  120.266732   -2.548686  F        8.0003072  0          0          0          GV     -                 -                 -                 -                 -              202061               428620663657823232    8.577
ZTF-DR2              J003228.68+634817.9       00:32:28.68  +63:48:17.9    8.119500   63.804962  120.841155    1.010207  F        2.4001787  0          0          0          Gr     -                 -                 -                 -                 -              -                    430923247165272960   17.221
GCVS                 AP____Cas                 00:33:16.19  +62:54:26.1    8.317473   62.907260  120.865057    0.108444  F        6.8469379  0          0          0          GV     -                 -                 -                 -                 -              202575               430766016998901376   11.035
ASASSN-V             J003532.93+641714.6       00:35:32.95  +64:17:14.4    8.887287   64.287339  121.209105    1.468752  F        3.9139341  0          0          0          GV     -                 -                 -                 -                 -              474524               527027607176531712   13.023
GCVS                 FW____Cas                 00:36:44.51  +62:16:27.3    9.185444   62.274237  121.223450   -0.548752  F        6.2396254  0          0          0          GV     -                 -                 -                 -                 -              205533               430670222050230912   11.796
GCVS                 V827__Cas                 00:37:18.78  +63:12:56.4    9.328237   63.215680  121.341390    0.387560  1O       0          3.1986951  0          0          GV     -                 -                 -                 -                 -              205443               430814876547869440   10.744
ASASSN-V             J004003.39+641423.7       00:40:03.39  +64:14:23.8   10.014138   64.239932  121.695369    1.395512  F        4.1847880  0          0          0          GVr    -                 -                 -                 -                 -              J004003.39+641423.8  526969333059032448   13.733
GCVS                 NY____Cas                 00:40:23.19  +58:37:06.7   10.096640   58.618521  121.489706   -4.222278  1O       0          2.8233388  0          0          GVc    -                 -                 -                 -                 -              204028               425324052915862912   13.055
WISE                 J004026.8+620706          00:40:26.89  +62:07:06.1   10.112033   62.118366  121.647367   -0.725970  1O       0          1.0673975  0          0          GV     -                 -                 -                 -                 -              AP3382619            427660137169394304   15.059
